Folder,Artifact-padding,Liqe-resize,Maniqa-resize
exp-1102-sd15-nt-Prodigy-a-000010/anime/tsushima_yoshiko/out_dist_prompts_tags,3.4921875,2.9612699,0.3689551651477813
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/toid outfit/in_dist_prompts,3.353515625,2.88763,0.436205506324768
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/toid outfit/out_dist_prompts,3.345703125,2.877944,0.4420628249645233
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/toid outfit/out_dist_prompts_tags,3.392578125,2.895131,0.4421397745609283
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/none/in_dist_prompts,3.44140625,2.906856,0.4164167046546936
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/none/out_dist_prompts,3.314453125,2.8700068,0.4195030629634857
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/none/out_dist_prompts_tags,3.388671875,2.8729606,0.4190659821033478
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/onex outfit/in_dist_prompts,3.2265625,2.8469203,0.4121423363685608
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/onex outfit/out_dist_prompts,3.267578125,2.8275619,0.4108653962612152
exp-1102-sd15-nt-Prodigy-a-000010/anime/abukuma/onex outfit/out_dist_prompts_tags,3.2890625,2.8420353,0.4128588438034057
